                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                     80,                 1.7432,                0.84499,                0.89694,              0.0084556,              0.0084556,              0.0084556,                0.94851,                0.48216,                0.71714,                0.42174,                 1.3354,                0.65186,                0.76605
                     81,                 1.7337,                0.84211,                0.89337,              0.0084358,              0.0084358,              0.0084358,                0.94941,                0.53059,                 0.7443,                 0.4243,                 1.3458,                 0.6555,                0.76676
                     82,                 1.7272,                0.82835,                0.89072,               0.008416,               0.008416,               0.008416,                0.94573,                0.53395,                0.74232,                0.42629,                  1.342,                0.65334,                0.76607
                     83,                 1.7258,                0.84727,                0.89376,              0.0083962,              0.0083962,              0.0083962,                0.95157,                0.53516,                0.74455,                0.43536,                  1.339,                0.65022,                0.76628
                     84,                 1.7183,                0.84505,                0.88456,              0.0083764,              0.0083764,              0.0083764,                0.94792,                0.54325,                 0.7464,                0.43662,                 1.3499,                 0.6485,                0.76776
                     85,                 1.7451,                  0.847,                0.89088,              0.0083566,              0.0083566,              0.0083566,                0.94837,                0.53861,                0.74533,                0.43222,                  1.344,                0.64851,                0.76799
                     86,                 1.7191,                0.82823,                0.88966,              0.0083368,              0.0083368,              0.0083368,                0.95048,                0.54457,                0.74992,                0.43725,                 1.3463,                0.64852,                0.76796
                     87,                 1.7165,                0.82366,                0.88758,               0.008317,               0.008317,               0.008317,                 0.9489,                0.52416,                0.73795,                0.43421,                 1.3382,                 0.6409,                0.76667
                     88,                 1.7481,                0.84507,                0.89241,              0.0082972,              0.0082972,              0.0082972,                0.94756,                0.50271,                0.72527,                0.41358,                 1.3242,                0.63737,                0.76595
                     89,                 1.7268,                0.84229,                0.89107,              0.0082774,              0.0082774,              0.0082774,                0.95374,                 0.4975,                0.72655,                0.42038,                 1.3199,                   0.64,                0.76562
                     90,                 1.7184,                0.83726,                0.89147,              0.0082576,              0.0082576,              0.0082576,                0.95177,                0.51789,                 0.7381,                0.42785,                 1.3238,                 0.6355,                0.76471
                     91,                 1.7007,                0.83495,                0.88639,              0.0082378,              0.0082378,              0.0082378,                0.95326,                0.47741,                0.71878,                0.41416,                 1.3184,                0.63303,                0.76427
                     92,                 1.7148,                0.83287,                0.88894,               0.008218,               0.008218,               0.008218,                0.95154,                0.48506,                0.72131,                 0.4091,                 1.3148,                 0.6247,                0.76316
                     93,                 1.7282,                0.84177,                0.89262,              0.0081982,              0.0081982,              0.0081982,                0.94163,                0.47322,                0.70958,                0.40722,                 1.3086,                0.61818,                 0.7633
                     94,                 1.7225,                0.84381,                0.89117,              0.0081784,              0.0081784,              0.0081784,                0.94269,                0.50537,                0.72723,                 0.4162,                 1.3101,                0.62143,                0.76383
                     95,                 1.6969,                0.81725,                0.88239,              0.0081586,              0.0081586,              0.0081586,                0.93758,                0.47382,                0.70841,                0.41594,                 1.3091,                0.61909,                0.76357
                     96,                 1.7003,                0.82797,                0.88983,              0.0081388,              0.0081388,              0.0081388,                0.94939,                0.52112,                0.73562,                0.42406,                 1.3067,                0.62032,                0.76247
                     97,                 1.7261,                0.82826,                0.88863,               0.008119,               0.008119,               0.008119,                0.94707,                 0.5154,                0.73218,                0.41879,                 1.3098,                0.62142,                0.76287
                     98,                 1.6987,                 0.8216,                 0.8883,              0.0080992,              0.0080992,              0.0080992,                0.94861,                0.53081,                0.73949,                0.42206,                 1.3131,                0.62599,                 0.7628
                     99,                 1.6979,                0.82861,                0.88384,              0.0080794,              0.0080794,              0.0080794,                0.94707,                0.49522,                0.72005,                 0.4158,                 1.3101,                0.62304,                0.76208
                    100,                 1.7015,                0.81212,                0.88699,              0.0080596,              0.0080596,              0.0080596,                0.94857,                0.52679,                0.73516,                0.42562,                 1.3074,                0.61794,                0.76277
                    101,                 1.7013,                0.83196,                0.88365,              0.0080398,              0.0080398,              0.0080398,                0.94834,                0.52247,                0.73415,                0.42903,                 1.3086,                0.61379,                0.76263
                    102,                 1.7057,                0.83251,                0.88704,                0.00802,                0.00802,                0.00802,                0.94774,                0.51604,                0.73236,                0.42615,                 1.3043,                0.61184,                0.76226
                    103,                 1.7039,                0.81704,                0.88622,              0.0080002,              0.0080002,              0.0080002,                0.94644,                0.52464,                 0.7317,                0.42843,                 1.3015,                0.61258,                0.76188
                    104,                 1.6923,                0.81645,                0.88762,              0.0079804,              0.0079804,              0.0079804,                0.94314,                0.47324,                0.70801,                 0.4151,                    1.3,                 0.6143,                0.76222
                    105,                 1.7005,                0.81369,                0.88723,              0.0079606,              0.0079606,              0.0079606,                0.94646,                0.48167,                0.71466,                0.42198,                 1.2973,                0.61176,                0.76169
                    106,                 1.6783,                0.81482,                0.88496,              0.0079408,              0.0079408,              0.0079408,                0.94789,                0.49258,                0.72006,                0.42408,                 1.3012,                0.60927,                0.76137
                    107,                 1.7035,                0.81254,                0.89125,               0.007921,               0.007921,               0.007921,                0.94202,                0.49099,                 0.7168,                0.42268,                 1.2966,                 0.6061,                0.76157
                    108,                 1.6764,                0.80984,                 0.8827,              0.0079012,              0.0079012,              0.0079012,                0.94606,                0.51901,                0.73163,                0.43137,                 1.2977,                0.60142,                0.76138
                    109,                 1.6966,                0.81275,                0.88295,              0.0078814,              0.0078814,              0.0078814,                0.94902,                0.51362,                0.73095,                0.43241,                 1.2951,                0.60672,                0.76078
                    110,                 1.6873,                0.81115,                0.88074,              0.0078616,              0.0078616,              0.0078616,                0.94902,                0.51386,                0.72999,                0.43736,                 1.2946,                0.60567,                0.76099
                    111,                 1.7079,                0.82797,                0.88946,              0.0078418,              0.0078418,              0.0078418,                0.94347,                0.48399,                0.71398,                0.42404,                 1.2955,                0.60841,                 0.7612
                    112,                 1.6705,                0.79252,                0.88248,               0.007822,               0.007822,               0.007822,                0.94804,                0.51619,                0.73157,                0.43142,                 1.2936,                0.60921,                 0.7615
                    113,                 1.6721,                0.80277,                 0.8795,              0.0078022,              0.0078022,              0.0078022,                0.94741,                0.52928,                0.73788,                0.43813,                 1.2958,                0.60837,                0.76187
                    114,                 1.6748,                0.80779,                0.88072,              0.0077824,              0.0077824,              0.0077824,                0.94438,                0.50037,                0.72207,                0.42565,                  1.293,                0.60593,                0.76142
                    115,                 1.6904,                0.81842,                0.88926,              0.0077626,              0.0077626,              0.0077626,                0.94606,                0.51964,                0.73238,                0.43366,                 1.2921,                0.60734,                0.76133
                    116,                 1.6856,                0.80986,                0.88221,              0.0077428,              0.0077428,              0.0077428,                0.94716,                0.52607,                0.73627,                0.43556,                 1.2889,                0.60294,                0.76124
                    117,                 1.6727,                0.78626,                0.88012,               0.007723,               0.007723,               0.007723,                0.94722,                0.53298,                0.73987,                 0.4384,                 1.2844,                0.60238,                0.76103
                    118,                 1.6655,                0.79569,                0.88086,              0.0077032,              0.0077032,              0.0077032,                 0.9494,                 0.5386,                0.74313,                  0.439,                 1.2815,                0.60003,                 0.7609
                    119,                 1.7107,                0.82139,                0.88572,              0.0076834,              0.0076834,              0.0076834,                0.94834,                0.52551,                0.73625,                0.43595,                 1.2807,                0.60023,                0.76083
