1778229174.3290308,139.6,-11.0,172.8,134022,-11.0
1778229174.329036,153.0,-11.0,212.8,134023,-11.0
1778229174.3290412,153.6,-12.0,212.8,134024,-12.0
1778229174.3290515,154.1,-12.0,212.8,134025,-12.0
1778229174.3290572,154.5,-11.0,212.8,134026,-11.0
1778229174.329063,164.2,-12.0,2271.4,134027,-12.0
1778229178.2873032,208.2,-6.0,1729.3,134028,-6.0
1778229178.2873366,248.2,-12.0,2361.3,134029,-12.0
1778229178.2873487,258.0,-6.0,2673.6,134030,-6.0
1778229178.2873585,287.1,-12.0,1751.7,134031,-12.0
1778229178.2873676,311.8,-12.0,2886.0,134032,-12.0
1778229178.287376,319.1,-6.0,3737.9,134033,-6.0
1778229178.287384,322.8,-6.0,3640.5,134034,-6.0
1778229178.287392,53.0,-12.0,3258.2,134035,-12.0
1778229178.2873995,53.0,-12.0,3992.7,134036,-12.0
1778229178.2874072,57.4,-6.0,3085.8,134037,-6.0
1778229178.287415,69.2,-12.0,3603.0,134038,-12.0
1778229178.2874224,70.7,-6.0,3937.8,134039,-6.0
1778229178.2874303,131.4,-11.0,2049.0,134040,-11.0
1778229178.2874382,139.5,-12.0,4017.7,134041,-12.0
1778229178.2874465,141.9,-6.0,2658.6,134042,-6.0
1778229178.2874544,155.0,-6.0,130.4,134043,-6.0
1778229178.287462,156.1,-12.0,962.3,134044,-12.0
1778229178.2874706,170.9,-12.0,1407.0,134045,-12.0
1778229178.2874777,171.3,-11.0,3563.0,134046,-11.0
1778229182.2466705,189.1,-12.0,2743.6,134047,-12.0
1778229182.2467065,203.5,-6.0,2873.5,134048,-6.0
1778229182.2467191,220.5,-12.0,3388.1,134049,-12.0
1778229182.2467294,229.4,-11.0,2953.4,134050,-11.0
1778229182.2467384,233.0,-11.0,2081.5,134051,-11.0
1778229182.2467465,246.3,-11.0,2386.3,134052,-11.0
1778229182.2467546,265.1,-12.0,3850.3,134053,-12.0
1778229182.2467623,302.8,-6.0,4102.6,134054,-6.0
1778229182.2467704,318.9,-12.0,3305.7,134055,-12.0
1778229182.2467794,13.2,-12.0,1849.2,134056,-12.0
1778229182.2467873,18.4,-12.0,3458.1,134057,-12.0
1778229182.2467954,35.7,-11.0,4145.1,134058,-11.0
1778229182.2468035,58.4,-12.0,2111.5,134059,-12.0
1778229182.246811,60.5,-11.0,3820.3,134060,-11.0
1778229182.2468185,69.9,-12.0,3945.3,134061,-12.0
1778229182.2468264,75.3,-11.0,3995.2,134062,-11.0
1778229182.2468338,98.4,-12.0,140.3,134063,-12.0
1778229182.2468421,113.3,-12.0,3920.3,134064,-12.0
1778229182.2468495,117.2,-6.0,132.8,134065,-6.0
