                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                     66,                 1.3727,                0.96518,                0.91002,              0.0087328,              0.0087328,              0.0087328,                0.72527,                0.84733,                0.84044,                0.49428,                  1.339,                 1.0497,                 1.0099
                     67,                 1.3957,                0.93385,                0.91729,               0.008713,               0.008713,               0.008713,                0.69992,                0.81903,                0.76356,                0.37717,                 1.6417,                   1.31,                 1.0473
                     68,                 1.4001,                0.93387,                0.91888,              0.0086932,              0.0086932,              0.0086932,                0.80068,                0.81679,                 0.8246,                0.48056,                 1.3445,                0.95071,                0.97296
                     69,                 1.3646,                0.94141,                0.90411,              0.0086734,              0.0086734,              0.0086734,                0.66701,                0.73397,                 0.7199,                0.34402,                 1.6202,                  1.679,                 1.0465
                     70,                 1.3913,                0.96841,                0.91768,              0.0086536,              0.0086536,              0.0086536,                0.85241,                0.70541,                0.84089,                0.46009,                 1.4947,                  1.135,                 1.0208
                     71,                 1.4247,                0.88535,                0.91076,              0.0086338,              0.0086338,              0.0086338,                0.81485,                0.79389,                0.83473,                0.45118,                 1.5414,                0.96669,                 1.0653
                     72,                 1.3782,                0.85341,                0.90974,               0.008614,               0.008614,               0.008614,                0.81293,                0.83206,                0.85357,                0.48822,                  1.448,                 0.9527,                  1.047
                     73,                 1.4175,                0.87699,                0.90792,              0.0085942,              0.0085942,              0.0085942,                0.81048,                0.80153,                0.85123,                0.48224,                 1.3759,                0.97274,                 1.0035
                     74,                 1.4367,                0.86514,                0.91574,              0.0085744,              0.0085744,              0.0085744,                0.84688,                0.75997,                0.85196,                0.49721,                 1.2978,                 1.1479,                0.96936
                     75,                 1.3602,                0.86659,                0.89819,              0.0085546,              0.0085546,              0.0085546,                0.72051,                0.80687,                0.77085,                0.43006,                 1.4832,                 1.1346,                  1.027
                     76,                  1.394,                 0.8316,                 0.9004,              0.0085348,              0.0085348,              0.0085348,                0.85873,                0.74242,                0.88364,                0.51717,                 1.4348,                 1.0131,                0.98342
                     77,                 1.3434,                0.88045,                0.90467,               0.008515,               0.008515,               0.008515,                0.77938,                0.83599,                0.86665,                0.52506,                 1.3674,                 1.3637,                0.98379
                     78,                 1.3831,                0.90862,                0.89456,              0.0084952,              0.0084952,              0.0084952,                0.85067,                0.78278,                0.88873,                0.52855,                 1.3281,                0.96938,                0.98602
                     79,                  1.386,                0.86483,                0.90711,              0.0084754,              0.0084754,              0.0084754,                0.87629,                0.75573,                0.87909,                0.53646,                    1.3,                0.89876,                0.97345
                     80,                 1.3382,                0.85297,                 0.9051,              0.0084556,              0.0084556,              0.0084556,                0.80477,                0.83969,                0.89742,                0.53759,                  1.298,                0.86203,                0.97658
                     81,                 1.3674,                0.80872,                0.90568,              0.0084358,              0.0084358,              0.0084358,                0.85778,                0.83206,                0.88955,                0.51755,                  1.413,                0.93084,                0.99396
                     82,                 1.3836,                0.82641,                0.90961,               0.008416,               0.008416,               0.008416,                 0.8557,                0.76956,                0.85519,                0.49926,                 1.3586,                 1.0919,                0.98638
                     83,                 1.3521,                0.82326,                0.89769,              0.0083962,              0.0083962,              0.0083962,                 0.7944,                0.76689,                0.78824,                0.37572,                 1.7373,                 1.1304,                 1.1393
                     84,                 1.3291,                0.84502,                0.89185,              0.0083764,              0.0083764,              0.0083764,                0.86262,                0.81485,                0.83743,                0.48407,                 1.3661,                0.93958,                0.98869
                     85,                 1.3653,                0.85419,                0.90359,              0.0083566,              0.0083566,              0.0083566,                0.94723,                0.82214,                0.92113,                 0.5628,                 1.2978,                0.83682,                0.97775
                     86,                 1.3227,                0.81771,                0.91983,              0.0083368,              0.0083368,              0.0083368,                0.83516,                0.80153,                0.89546,                0.51341,                 1.3076,                0.91409,                0.96835
                     87,                 1.3635,                0.83276,                0.90065,               0.008317,               0.008317,               0.008317,                0.80244,                0.87786,                0.87381,                0.51134,                 1.3781,                 0.9131,                0.98118
                     88,                 1.3572,                0.81821,                0.89529,              0.0082972,              0.0082972,              0.0082972,                0.82715,                0.84019,                0.87008,                0.50487,                 1.3548,                 0.9667,                0.98659
                     89,                 1.3694,                0.82135,                0.89188,              0.0082774,              0.0082774,              0.0082774,                    0.8,                0.87786,                0.88213,                0.49907,                 1.4798,                0.91434,                 1.0329
                     90,                 1.3193,                0.86106,                0.91998,              0.0082576,              0.0082576,              0.0082576,                0.74131,                0.87503,                0.88713,                0.56614,                 1.2816,                0.89349,                0.98258
                     91,                 1.2872,                0.79802,                0.89365,              0.0082378,              0.0082378,              0.0082378,                0.84158,                0.85159,                 0.9057,                0.55792,                 1.3066,                0.94305,                0.97339
                     92,                 1.3305,                0.80933,                0.89364,               0.008218,               0.008218,               0.008218,                0.75027,                0.77863,                0.74588,                0.37413,                 1.6049,                 1.0031,                 1.0713
                     93,                 1.3204,                0.82527,                0.90145,              0.0081982,              0.0081982,              0.0081982,                0.81408,                0.83206,                0.88158,                0.53879,                 1.2991,                0.85983,                 0.9682
                     94,                 1.3699,                0.81706,                 0.8921,              0.0081784,              0.0081784,              0.0081784,                0.80638,                0.77099,                0.85467,                0.47708,                 1.4111,                0.96761,                0.99925
                     95,                  1.331,                0.83944,                0.88913,              0.0081586,              0.0081586,              0.0081586,                0.82301,                 0.8164,                0.86481,                 0.5346,                 1.3081,                0.95866,                0.97512
                     96,                 1.3207,                0.80663,                 0.8985,              0.0081388,              0.0081388,              0.0081388,                0.67795,                0.83206,                0.76523,                0.41645,                 1.4977,                0.98293,                 1.0353
                     97,                 1.3015,                0.82009,                0.88871,               0.008119,               0.008119,               0.008119,                0.81705,                0.77863,                0.87368,                0.53287,                 1.2985,                0.90184,                0.97901
                     98,                 1.3576,                0.79586,                0.88878,              0.0080992,              0.0080992,              0.0080992,                0.92178,                0.82443,                0.92094,                0.55671,                  1.344,                0.84865,                0.97066
                     99,                 1.2886,                0.76237,                0.89793,              0.0080794,              0.0080794,              0.0080794,                0.93109,                0.82518,                0.91747,                0.54385,                  1.373,                 0.8213,                0.97232
                    100,                 1.2937,                0.75453,                0.89516,              0.0080596,              0.0080596,              0.0080596,                0.77581,                0.85496,                0.86631,                0.52462,                  1.306,                0.97205,                0.98028
                    101,                 1.3012,                0.76339,                0.89897,              0.0080398,              0.0080398,              0.0080398,                0.87844,                 0.8626,                0.92537,                0.57301,                 1.2993,                0.84049,                0.96291
                    102,                 1.2797,                 0.8223,                0.88852,                0.00802,                0.00802,                0.00802,                0.60138,                0.77099,                0.68013,                0.36821,                 1.6233,                 1.1023,                 1.0756
                    103,                 1.2712,                0.75636,                0.88188,              0.0080002,              0.0080002,              0.0080002,                0.89158,                0.82443,                0.88765,                0.54925,                 1.2946,                0.98113,                0.97658
                    104,                 1.2817,                 0.7784,                0.89373,              0.0079804,              0.0079804,              0.0079804,                0.84618,                0.80916,                0.88417,                0.53355,                 1.3483,                0.92674,                0.98141
                    105,                 1.3346,                0.77177,                0.90244,              0.0079606,              0.0079606,              0.0079606,                0.85444,                0.85136,                0.89045,                0.55631,                  1.302,                 0.9346,                0.95915
                    106,                 1.2981,                0.80615,                0.88144,              0.0079408,              0.0079408,              0.0079408,                 0.9021,                0.85496,                0.90882,                0.53551,                 1.3396,                0.80183,                0.97268
                    107,                 1.3028,                0.74552,                0.88547,               0.007921,               0.007921,               0.007921,                0.90689,                0.82443,                0.89164,                0.54342,                 1.3657,                0.95596,                0.99908
                    108,                 1.2847,                 0.7765,                0.88937,              0.0079012,              0.0079012,              0.0079012,                0.93469,                0.80153,                 0.8859,                0.53083,                  1.358,                0.96036,                0.98706
                    109,                 1.2816,                 0.7565,                0.87745,              0.0078814,              0.0078814,              0.0078814,                0.72623,                0.80916,                0.77462,                0.37647,                  1.656,                0.99738,                 1.0718
                    110,                 1.3175,                0.75178,                0.87581,              0.0078616,              0.0078616,              0.0078616,                0.68088,                0.84693,                0.71255,                0.34546,                 1.6802,                 1.0776,                  1.059
                    111,                  1.309,                 0.7625,                0.89263,              0.0078418,              0.0078418,              0.0078418,                0.86895,                0.79389,                0.86677,                0.51592,                 1.3657,                 1.0441,                0.98507
                    112,                 1.3355,                0.76052,                 0.8966,               0.007822,               0.007822,               0.007822,                 0.8934,                0.80916,                0.87689,                0.53731,                 1.3282,                 1.0409,                0.98036
                    113,                 1.2787,                0.75977,                0.89131,              0.0078022,              0.0078022,              0.0078022,                 0.8641,                0.72519,                0.84691,                0.47991,                 1.4402,                 1.1063,                0.99085
                    114,                 1.3444,                0.75979,                0.88193,              0.0077824,              0.0077824,              0.0077824,                0.73657,                0.81109,                0.85054,                0.49401,                 1.3752,                 1.0285,                  1.013
                    115,                 1.3114,                 0.8341,                0.88641,              0.0077626,              0.0077626,              0.0077626,                0.92857,                0.79387,                0.89521,                0.51886,                 1.3999,                0.98813,                0.98361
                    116,                 1.2496,                0.75395,                0.88648,              0.0077428,              0.0077428,              0.0077428,                0.88315,                 0.8654,                 0.9116,                 0.5571,                 1.3207,                0.85301,                0.95928
                    117,                 1.2691,                0.71545,                0.88113,               0.007723,               0.007723,               0.007723,                0.90504,                0.87302,                0.92885,                0.58977,                 1.3003,                 0.7656,                0.96292
                    118,                 1.3088,                0.77722,                0.88912,              0.0077032,              0.0077032,              0.0077032,                0.96575,                0.86093,                0.91217,                0.56608,                 1.3453,                0.81978,                0.97131
                    119,                 1.3108,                0.82615,                0.90049,              0.0076834,              0.0076834,              0.0076834,                0.80462,                0.78626,                0.83545,                0.52137,                 1.2918,                0.92217,                0.97449
                    120,                 1.3285,                0.74299,                0.88913,              0.0076636,              0.0076636,              0.0076636,                0.87494,                0.79389,                0.88949,                0.53893,                 1.3333,                0.93882,                0.97574
                    121,                 1.2678,                0.75787,                0.89653,              0.0076438,              0.0076438,              0.0076438,                0.96409,                0.81974,                 0.9285,                0.56906,                 1.3022,                0.84606,                0.96505
                    122,                 1.2617,                0.71797,                0.88186,               0.007624,               0.007624,               0.007624,                0.71955,                0.87786,                0.75898,                0.43816,                 1.5048,                0.97167,                  1.058
                    123,                   1.28,                  0.707,                0.88148,              0.0076042,              0.0076042,              0.0076042,                0.69779,                0.81079,                0.72287,                0.40492,                 1.4954,                 1.0166,                 1.0476
                    124,                 1.2894,                0.76037,                0.89092,              0.0075844,              0.0075844,              0.0075844,                0.85446,                0.80916,                0.87212,                0.52312,                 1.3367,                 1.0094,                0.97199
                    125,                 1.2617,                0.75342,                0.88221,              0.0075646,              0.0075646,              0.0075646,                0.87467,                0.79911,                0.90539,                0.53814,                 1.3883,                0.86144,                  1.003
                    126,                 1.3038,                0.75427,                0.87608,              0.0075448,              0.0075448,              0.0075448,                0.94516,                0.78937,                 0.8911,                0.55607,                 1.3541,                0.86513,                0.96793
                    127,                 1.2875,                0.76464,                0.88171,               0.007525,               0.007525,               0.007525,                0.73495,                0.76201,                0.81533,                0.40126,                 1.6764,                 1.0119,                  1.082
                    128,                 1.2755,                0.73514,                0.88463,              0.0075052,              0.0075052,              0.0075052,                0.56815,                0.78335,                0.79038,                0.43385,                 1.5673,                 1.3285,                 1.0436
                    129,                 1.2734,                 0.7854,                0.87609,              0.0074854,              0.0074854,              0.0074854,                0.70127,                0.80153,                0.72841,                0.34262,                 1.8066,                 1.0571,                 1.1274
                    130,                 1.2603,                0.73261,                0.88048,              0.0074656,              0.0074656,              0.0074656,                 0.5376,                0.84733,                0.73402,                0.35903,                  1.626,                  1.201,                 1.0587
                    131,                 1.2525,                0.68737,                0.87372,              0.0074458,              0.0074458,              0.0074458,                0.84887,                0.81464,                0.88507,                 0.5448,                 1.3623,                0.88492,                0.99393
                    132,                 1.2645,                0.70217,                0.88462,               0.007426,               0.007426,               0.007426,                0.90898,                0.74046,                 0.8763,                0.54703,                 1.3503,                 1.1049,                0.97342
                    133,                 1.3042,                0.72366,                0.88251,              0.0074062,              0.0074062,              0.0074062,                0.77458,                0.77099,                0.81252,                0.49219,                 1.3521,                 1.2937,                0.98097
                    134,                 1.2725,                0.74382,                0.89791,              0.0073864,              0.0073864,              0.0073864,                0.84319,                0.77099,                0.83682,                0.52579,                 1.2984,                 1.3053,                0.96641
                    135,                 1.2664,                0.75713,                0.87769,              0.0073666,              0.0073666,              0.0073666,                 0.5562,                0.80916,                0.68443,                 0.3726,                 1.5365,                 1.2255,                  1.031
                    136,                 1.2674,                0.74157,                0.89809,              0.0073468,              0.0073468,              0.0073468,                0.96112,                0.75474,                0.86732,                0.53105,                  1.308,                 1.0506,                0.95226
                    137,                 1.2755,                0.70478,                 0.8861,               0.007327,               0.007327,               0.007327,                0.91169,                0.78812,                0.90742,                0.56679,                 1.2794,                0.88931,                0.95815
                    138,                 1.2413,                0.71491,                0.88664,              0.0073072,              0.0073072,              0.0073072,                 0.6984,                 0.9084,                0.75672,                0.39926,                 1.5054,                 1.0057,                 1.0137
                    139,                 1.2844,                0.70983,                 0.8737,              0.0072874,              0.0072874,              0.0072874,                0.55116,                0.78741,                0.56029,                0.26654,                 1.8033,                 1.1416,                 1.0796
                    140,                 1.2362,                 0.7188,                0.88955,              0.0072676,              0.0072676,              0.0072676,                0.66915,                0.89313,                0.67099,                 0.3711,                 1.5403,                 1.0855,                 1.0277
                    141,                 1.2288,                 0.6971,                0.85915,              0.0072478,              0.0072478,              0.0072478,                0.91879,                0.78626,                0.90796,                0.57358,                 1.2814,                0.83784,                0.95757
                    142,                 1.2731,                0.71659,                0.87707,               0.007228,               0.007228,               0.007228,                0.56124,                0.89833,                0.73357,                 0.4087,                 1.5689,                 1.0638,                 1.0399
                    143,                  1.256,                0.70745,                0.88844,              0.0072082,              0.0072082,              0.0072082,                0.93681,                0.81679,                0.89102,                0.52054,                 1.3664,                0.91355,                0.98206
                    144,                 1.2311,                0.71569,                0.87256,              0.0071884,              0.0071884,              0.0071884,                0.67448,                0.85496,                0.72747,                0.43873,                 1.3503,                 1.2451,                0.99585
                    145,                 1.2482,                0.72323,                0.88148,              0.0071686,              0.0071686,              0.0071686,                0.92078,                0.79853,                0.88524,                0.57304,                 1.3021,                0.86173,                0.95747
                    146,                 1.2351,                0.67834,                0.87052,              0.0071488,              0.0071488,              0.0071488,                0.52559,                0.80916,                0.69202,                0.37216,                 1.5517,                 1.3782,                 1.0697
                    147,                 1.2463,                 0.7213,                 0.8869,               0.007129,               0.007129,               0.007129,                 0.8336,                0.79389,                0.84735,                0.53809,                  1.289,                 1.0087,                0.96938
                    148,                  1.282,                0.71588,                0.87746,              0.0071092,              0.0071092,              0.0071092,                0.85103,                0.83206,                0.89995,                0.55307,                 1.2991,                0.87478,                0.96135
